code,dim,source_qid,question_kr,option_idx,option_kr,option_score,question_weight,option_pct_iso,option_pct_non,option_cohen_h
Q6,emotional_support,A12_4_1 TO A12_4_4,낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람이 있다면 누구인가요? (가장 가까운 한 명 기준),2,친구,0,1.0662,16.46,65.41,-1.0485
Q6,emotional_support,A12_4_1 TO A12_4_4,낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람이 있다면 누구인가요? (가장 가까운 한 명 기준),3,"그 외 타인 (이웃, 직장동료 등)",1,1.0662,7.0,16.95,-0.3132
Q6,emotional_support,A12_4_1 TO A12_4_4,낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람이 있다면 누구인가요? (가장 가까운 한 명 기준),4,없음,5,1.0662,55.97,9.43,1.0662
Q7,loneliness,A18_2,나는 도움을 청할 사람이 아무도 없다고 느낀다.,1,전혀그렇지않다,0,0.7545,10.7,27.71,-0.4423
Q7,loneliness,A18_2,나는 도움을 청할 사람이 아무도 없다고 느낀다.,2,별로그렇지않다,1,0.7545,21.4,40.38,-0.4154
Q7,loneliness,A18_2,나는 도움을 청할 사람이 아무도 없다고 느낀다.,3,가끔그런편이다,3,0.7545,37.86,27.85,0.2137
Q7,loneliness,A18_2,나는 도움을 청할 사람이 아무도 없다고 느낀다.,4,항상그렇다,5,0.7545,30.04,4.06,0.7545
Q8,depression,B12_1,"(지난 2주간) 기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다.",1,없음,0,0.6975,22.22,54.17,-0.6725
Q8,depression,B12_1,"(지난 2주간) 기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다.",2,"2, 3일 이상",2,0.6975,34.77,32.8,0.0417
Q8,depression,B12_1,"(지난 2주간) 기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다.",3,7일 이상,4,0.6975,17.08,9.63,0.2211
Q8,depression,B12_1,"(지난 2주간) 기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다.",4,거의 매일,5,0.6975,25.93,3.4,0.6975
Q9,depression_safety,B12_9,(지난 2주간) 차라리 죽는 것이 더 낫겠다 / 자해할 생각이 들었다.,1,없음,0,0.8852,43.42,72.11,-0.5901
Q9,depression_safety,B12_9,(지난 2주간) 차라리 죽는 것이 더 낫겠다 / 자해할 생각이 들었다.,2,"2, 3일 이상",3,0.8852,25.51,16.03,0.2351
Q9,depression_safety,B12_9,(지난 2주간) 차라리 죽는 것이 더 낫겠다 / 자해할 생각이 들었다.,3,7일 이상,5,0.8852,12.76,8.75,0.1298
Q9,depression_safety,B12_9,(지난 2주간) 차라리 죽는 것이 더 낫겠다 / 자해할 생각이 들었다.,4,거의 매일,6,0.8852,18.31,3.1,0.5302
Q10,self_care,B9_4,내 방의 어질러진 물건들을 정리정돈하는 빈도는?,1,한 달에한 번,5,0.4708,18.31,4.22,0.4708
Q10,self_care,B9_4,내 방의 어질러진 물건들을 정리정돈하는 빈도는?,2,2~3주에한 번,3,0.4708,11.93,6.37,0.1953
Q10,self_care,B9_4,내 방의 어질러진 물건들을 정리정돈하는 빈도는?,3,일주일에한 번,2,0.4708,20.78,22.48,-0.0412
Q10,self_care,B9_4,내 방의 어질러진 물건들을 정리정돈하는 빈도는?,4,2~3일에한 번,1,0.4708,23.05,31.51,-0.1906
Q10,self_care,B9_4,내 방의 어질러진 물건들을 정리정돈하는 빈도는?,5,매일,0,0.4708,25.93,35.43,-0.2066
Q11,family_connection,B1_2,나는 평소 가족과 대화를 자주 하는 편이다.,1,전혀그렇지않다,4,0.5741,17.7,2.15,0.5741
Q11,family_connection,B1_2,나는 평소 가족과 대화를 자주 하는 편이다.,2,그렇지않다,3,0.5741,22.84,10.22,0.3456
Q11,family_connection,B1_2,나는 평소 가족과 대화를 자주 하는 편이다.,3,보통이다,2,0.5741,32.1,32.13,-0.0006
Q11,family_connection,B1_2,나는 평소 가족과 대화를 자주 하는 편이다.,4,그렇다,1,0.5741,19.75,38.89,-0.4256
Q11,family_connection,B1_2,나는 평소 가족과 대화를 자주 하는 편이다.,5,매우그렇다,0,0.5741,7.61,16.61,-0.2805
Q12,employment_context,A1,지난 한 주 동안 일을 하셨나요?,1,일을 하였다.,0,0.9372,41.98,84.7,-0.9283
Q12,employment_context,A1,지난 한 주 동안 일을 하셨나요?,2,휴가 및 일시 휴직 중이다.,2,0.9372,7.82,5.47,0.0947
Q12,employment_context,A1,지난 한 주 동안 일을 하셨나요?,3,일을 하지 않았다.,4,0.9372,50.21,9.83,0.9372
