job_role_id,job_role_name,job_top_group_name,normalized_key,is_active
job_0102,평생교육,교육/생활서비스,평생교육,TRUE
job_0103,직업교육,교육/생활서비스,직업교육,TRUE
job_0104,한국어교육,교육/생활서비스,한국어교육,TRUE
job_0105,호텔 서비스,교육/생활서비스,호텔_서비스,TRUE
job_0106,관광통역,교육/생활서비스,관광통역,TRUE
job_0107,여행기획,교육/생활서비스,여행기획,TRUE
job_0108,조리,교육/생활서비스,조리,TRUE
job_0109,제과/제빵,교육/생활서비스,제과_제빵,TRUE
job_0110,바리스타,교육/생활서비스,바리스타,TRUE
job_0111,식품품질관리,교육/생활서비스,식품품질관리,TRUE
job_0112,영양/급식,교육/생활서비스,영양_급식,TRUE
job_0113,외식서비스 운영,교육/생활서비스,외식서비스_운영,TRUE
job_0114,헤어디자인,교육/생활서비스,헤어디자인,TRUE
job_0115,메이크업,교육/생활서비스,메이크업,TRUE
job_0116,피부관리,교육/생활서비스,피부관리,TRUE
job_0117,반려동물 관리,교육/생활서비스,반려동물_관리,TRUE
job_0118,스포츠지도,교육/생활서비스,스포츠지도,TRUE
job_0119,생활건강관리,교육/생활서비스,생활건강관리,TRUE
job_0120,시각디자인,콘텐츠/디자인/예술,시각디자인,TRUE
job_0121,UI/UX 디자인,콘텐츠/디자인/예술,ui_ux_디자인,TRUE
job_0122,편집디자인,콘텐츠/디자인/예술,편집디자인,TRUE
job_0123,산업디자인,콘텐츠/디자인/예술,산업디자인,TRUE
job_0124,영상편집,콘텐츠/디자인/예술,영상편집,TRUE
job_0125,콘텐츠 제작,콘텐츠/디자인/예술,콘텐츠_제작,TRUE
job_0126,방송/미디어 제작,콘텐츠/디자인/예술,방송_미디어_제작,TRUE
job_0127,3D 콘텐츠 제작,콘텐츠/디자인/예술,3d_콘텐츠_제작,TRUE
job_0128,문예창작,콘텐츠/디자인/예술,문예창작,TRUE
job_0129,인쇄/출판 제작,콘텐츠/디자인/예술,인쇄_출판_제작,TRUE
job_0130,공예/주얼리 제작,콘텐츠/디자인/예술,공예_주얼리_제작,TRUE
job_0131,음악/공연 실무,콘텐츠/디자인/예술,음악_공연_실무,TRUE
job_0132,패션 제작,콘텐츠/디자인/예술,패션_제작,TRUE
job_0133,농업기술,1차산업/자원,농업기술,TRUE
job_0134,스마트팜 운영,1차산업/자원,스마트팜_운영,TRUE
job_0135,산림관리,1차산업/자원,산림관리,TRUE
job_0136,축산관리,1차산업/자원,축산관리,TRUE
job_0137,수산양식,1차산업/자원,수산양식,TRUE
job_0138,광업/자원개발,1차산업/자원,광업_자원개발,TRUE
job_0139,국방사업관리,국방/특수,국방사업관리,TRUE
job_0140,무인기 운용,국방/특수,무인기_운용,TRUE
job_0141,폭발물 처리,국방/특수,폭발물_처리,TRUE
job_0142,특수 안전관리,국방/특수,특수_안전관리,TRUE
